@RELATION	testSet

@ATTRIBUTE	class		{Politics,Economy,Social,Technology}
@ATTRIBUTE	id			NUMERIC
@ATTRIBUTE	content		STRING

@DATA
Social,585544777380270081,'major child abuse cover-up happening now in london!please sign petition to stop it:#gamergate #anon #opdeatheaters'
Politics,585544705980702720,'investigation into illegal secret civil hearing of criminal matters of a most serious nature #generalelection#ge15'
Politics,585544664889057281,'investigation into illegal secret civil hearing of criminal matters of a most serious nature #generalelection#ge15'
Politics,585544503274172419,'no more secret courts in the uk!show your support!#ge15 #ge2015 #generalelection #gamergate #jeremyclarkson #bbc'
Politics,585544449511575553,'8.4.1994 | #poland applied for membership in the european union.#eu'
Politics,585544438379872257,'investigation into illegal secret civil hearing of criminal matters of a most serious nature #generalelection#ge15'
Politics,585544339956326402,'workshop: introduction to the european union:'
Politics,585544261799653376,'ir477 - law and institutions of the european union - lecture 1.1:'
Economy,585544257999613953,'the european union is making the wrong reproach on #eritrea policy. aid wont fix migration crisis w/out govt change.'
Politics,585543746428764160,'investigation into illegal secret civil hearing of criminal matters of a most serious nature #generalelection#ge2015'
Economy,585543427716227072,'the european union is under increasing pressure to curtail its anticompetitive subsidies to farmers.[900034]'
Social,585543119913021441,'major child abuse cover-up happening now in london!please sign petition to stop it:#ge15 #ge2015 #generalelection'
Politics,585543093983772672,'no more secret courts in the uk!show your support!#ge15 #ge2015 #generalelection #gamergate #jeremyclarkson #bbc'
Politics,585542756027801602,'greece’s prime minister takes his fundraising quest to moscow today in a transparent attempt to play russia off against the european union.'
Politics,585542462724255747,'investigation into illegal secret civil hearing of criminal matters of a most serious nature #bbc#ge15 #ge2015'
Politics,585542400489168898,'investigation into illegal secret civil hearing of criminal matters of a most serious nature #generalelection#ge2015'
Politics,585542174118440960,'investigation into illegal secret civil hearing of criminal matters of a most serious nature #generalelection#ge15'
Social,585542092736307202,'european union square.'
Politics,585541979053957120,'investigation into illegal secret civil hearing of criminal matters of a most serious nature #generalelection#ge15'
Politics,585541854168489985,'no more secret courts in the uk!show your support!#ge15 #ge2015 #generalelection #gamergate #jeremyclarkson #bbc'
Politics,585541817392832512,'investigation into illegal secret civil hearing of criminal matters of a most serious nature #bbc#ge15 #ge2015'
Politics,585541578434969601,'no more secret courts in the uk!show your support!#ge15 #ge2015 #generalelection #gamergate #jeremyclarkson #bbc'
Social,585541465939542017,'major child abuse cover-up happening now in london!please sign petition to stop it:#ge15 #ge2015 #generalelection'
Politics,585541390811148288,'investigation into illegal secret civil hearing of criminal matters of a most serious nature #bbc#ge15 #ge2015'
Economy,585541249068826624,'why is the agricultural policy important for the eu(european union)'
Politics,585540949360701441,'investigation into illegal secret civil hearing of criminal matters of a most serious nature #generalelection#ge2015'
Social,585540610418941955,'major child abuse cover-up happening now in london!please sign petition to stop it:#ge15 #ge2015 #generalelection'
Politics,585540557583294464,'investigation into illegal secret civil hearing of criminal matters of a most serious nature #bbc#ge15 #ge2015'
Social,585540397188915200,'major child abuse cover-up happening now in london!please sign petition to stop it:#ge15 #ge2015 #generalelection'
Politics,585540062475063299,'investigation into illegal secret civil hearing of criminal matters of a most serious nature #bbc#ge15 #ge2015'
Social,585539899471876099,'major child abuse cover-up happening now in london!please sign petition to stop it:#ge15 #ge2015 #generalelection'
Economy,585539621943177218,'@bbcworld i would quite like greece to pay back all the money they owe the european union. #reparations'
Politics,585539542293291008,'investigation into illegal secret civil hearing of criminal matters of a most serious nature #generalelection#ge15'
Politics,585539437121122304,'investigation into illegal secret civil hearing of criminal matters of a most serious nature #generalelection#ge2015'
Politics,585539365553774593,'no more secret courts in the uk!show your support!#ge15 #ge2015 #generalelection #gamergate #jeremyclarkson #bbc'
Politics,585539194778427392,'investigation into illegal secret civil hearing of criminal matters of a most serious nature #bbc#ge15 #ge2015'
Social,585538625795969026,'major child abuse cover-up happening now in london!please sign petition to stop it:#gamergate #anon #opdeatheaters'
Politics,585538322975555585,'investigation into illegal secret civil hearing of criminal matters of a most serious nature #generalelection#ge15'
Politics,585538198627028993,'no more secret courts in the uk!show your support!#ge15 #ge2015 #generalelection #gamergate #jeremyclarkson #bbc'
Politics,585538194634055681,'investigation into illegal secret civil hearing of criminal matters of a most serious nature #generalelection#ge2015'
Politics,585538106163593217,'investigation into illegal secret civil hearing of criminal matters of a most serious nature #generalelection#ge15'
Politics,585537823492730881,'no more secret courts in the uk!show your support!#ge15 #ge2015 #generalelection #gamergate #jeremyclarkson #bbc'
Politics,585537757465948160,'investigation into illegal secret civil hearing of criminal matters of a most serious nature #bbc#ge15 #ge2015'
Politics,585537717284515842,'@atheistrepublic also european union whose success would have paved way for more confederations of nations is in the verge of breakup.'
Politics,585537200202317826,'no more secret courts in the uk!show your support!#ge15 #ge2015 #generalelection #gamergate #jeremyclarkson #bbc'
Politics,585536929590050817,'investigation into illegal secret civil hearing of criminal matters of a most serious nature #bbc#ge15 #ge2015'
Politics,585536663461486592,'farage welcomes blair intervention on the european union'
Social,585536515528388611,'major child abuse cover-up happening now in london!please sign petition to stop it:#gamergate #anon #opdeatheaters'
Economy,585536270811713540,'.@guntramwolff answers 11 questions on european monetary union  #emu'
Social,585536263882743808,'major child abuse cover-up happening now in london!please sign petition to stop it:#gamergate #anon #opdeatheaters'
Politics,585535870758998018,'investigation into illegal secret civil hearing of criminal matters of a most serious nature #bbc#ge15 #ge2015'
Social,585535862701694980,'major child abuse cover-up happening now in london!please sign petition to stop it:#ge15 #ge2015 #generalelection'
Social,585535827473801217,'major child abuse cover-up happening now in london!please sign petition to stop it:#gamergate #anon #opdeatheaters'
Politics,585535795227930624,'investigation into illegal secret civil hearing of criminal matters of a most serious nature #bbc#ge15 #ge2015'
Politics,585535479115841536,'investigation into illegal secret civil hearing of criminal matters of a most serious nature #generalelection#ge15'
Social,585535465517928449,'#mendelssohn  : symphonie n°4 "italienne" - european union youth orchestra v ashkenazy dir .#classicalmusic'
Politics,585535423289647105,'no more secret courts in the uk!show your support!#ge15 #ge2015 #generalelection #gamergate #jeremyclarkson #bbc'
Politics,585535342440280064,'investigation into illegal secret civil hearing of criminal matters of a most serious nature #generalelection#ge2015'
Politics,585535115868114944,'investigation into illegal secret civil hearing of criminal matters of a most serious nature #bbc#ge15 #ge2015'
Politics,585534853082443778,'no more secret courts in the uk!show your support!#ge15 #ge2015 #generalelection #gamergate #jeremyclarkson #bbc'
Politics,585534716088049664,'investigation into illegal secret civil hearing of criminal matters of a most serious nature #generalelection#ge2015'
Politics,585534640213127168,'investigation into illegal secret civil hearing of criminal matters of a most serious nature #generalelection#ge2015'
Politics,585534593488523265,'investigation into illegal secret civil hearing of criminal matters of a most serious nature #generalelection#ge15'
Politics,585534566447894530,'investigation into illegal secret civil hearing of criminal matters of a most serious nature #generalelection#ge2015'
Politics,585534140449214466,'investigation into illegal secret civil hearing of criminal matters of a most serious nature #generalelection#ge15'
Politics,585533752996208642,'investigation into illegal secret civil hearing of criminal matters of a most serious nature #generalelection#ge2015'
Politics,585533714584752128,'no more secret courts in the uk!show your support!#ge15 #ge2015 #generalelection #gamergate #jeremyclarkson #bbc'
Politics,585533493985288192,'investigation into illegal secret civil hearing of criminal matters of a most serious nature #bbc#ge15 #ge2015'
Economy,585533139281391617,'business: eu gathers evidence on deferred tax assets - the european union is gathering evidence for a possible inv...'
Politics,585532527550586880,'here is my quote on @ukipnortheast at the bottom on #tonyblair  #notsafeanymore #runningscared #ukip'
Social,585531526449881093,'major child abuse cover-up happening now in london!please sign petition to stop it:#ge15 #ge2015 #generalelection'
Politics,585531450138714113,'investigation into illegal secret civil hearing of criminal matters of a most serious nature #generalelection#ge15'
Politics,585531252419223554,'no more secret courts in the uk!show your support!#ge15 #ge2015 #generalelection #gamergate #jeremyclarkson #bbc'
Politics,585531035145924611,'investigation into illegal secret civil hearing of criminal matters of a most serious nature #generalelection#ge15'
Politics,585530990367531008,'investigation into illegal secret civil hearing of criminal matters of a most serious nature #generalelection#ge2015'
Politics,585530750491037696,'no more secret courts in the uk!show your support!#ge15 #ge2015 #generalelection #gamergate #jeremyclarkson #bbc'
Politics,585530685311610881,'investigation into illegal secret civil hearing of criminal matters of a most serious nature #bbc#ge15 #ge2015'
Politics,585530071546486785,'@primeministergr has america actually launched a covert war against the european unionread:'
Politics,585529760454959105,'@denismacshane european broadcast union?'
Economy,585529432946974721,'reuters: schulz warns greece to stick to eus line on russia sanctions: european parliament president...  #ukraine'
Politics,585529317121196033,'#greece is just about to set a new order inside the #european_union !!#go_greece_go !!@greecemfa'
Social,585529265405485059,'why pauffleys words become even more disturbing  via @ukchange #whistleblowerkids #opdeatheaters'
Social,585529177853587456,'#nationalbeerday i really need a freaking beer after reading about the european union ??????'
Economy,585529135046471682,'european union: firms eu & competition practices growing as regulators step up activity'
Politics,585528996894486531,'@russiainsider has america actually launched a covert war against the european unionread:'
Politics,585528870289465346,'@sputniknewsus has america actually launched a covert war against the european unionread:'
Economy,585525414753341441,'zimbabwe: europe extends sanctions on mugabe - the european union yesterday renewed for another year its...'
Politics,585525101174648832,'@swagenknecht has america actually launched a covert war against the european unionread:'
Politics,585524698089402368,'tony blair warns that quitting european union threatens city’s supremacy'
Social,585524289379639296,'just statistics.'
Politics,585523962815348736,'has america actually launched a covert war against the european unionread:'
Economy,585523847102910464,'statistics: republic of moldova exports more to the european union'
Social,585523776848326657,'documentary project dreamlandwhen european union had its biggest enlargement to the east 10 years ago many young people took the opportu…'
Social,585523601740279810,'documentary project dreamlandwhen european union had its biggest enlargement to the east 10 years ago many...'
Politics,585521908130705408,'uk leaving european union?:  via @youtube'
Politics,585521353245220864,'@fredwalton216 @yannikouts @atsipras @yanisvaroufakis parliament not consulted.audit committee has diffic task ahead'
Economy,585521116111835138,'today in 1999 the wto rules in favour of the united states in its long-running trade dispute with the european union over bananas.'
Technology,585521084306436096,'cytori granted orphan drug status for cellular therapeutic in european union  #healthinnovations #pharma #health'
Politics,585519286321618945,'council of the european union: stop ecig ban  via @ukchange'
Politics,585518331559575552,'gareth thomas the scots will always stand by the european union.'
Politics,585517913144221697,'the european union: a guide to terminology procedures and sources: source: house of commons…'
Economy,585517429880565760,'does the european union have a future?  #europeanunion #eu #eurozone'
Politics,585516078618533888,'open source strategy in the european union  (moving to contribution.yay? via @ph_laurent)'
Economy,585515926939918337,'european union quizzes italy on bank aid - the local.it'
Social,585515771587125248,'@governordeal the european union has banned the use of cruel steel-jaw traps in europe. #vetohb160'
Social,585515013437284352,'#haydn  : symphonie n°49 "la passione" - european union youth orchestra v ashkenazy dir .#classicalmusic'
Social,585514720125390850,'@governordeal the european union has banned the use of cruel steel-jaw traps in europe. #vetohb160'
Politics,585514700781260800,'investigation into illegal secret civil hearing of criminal matters of a most serious nature #bbc#ge15 #ge2015'
Politics,585514668761993216,'no more secret courts in the uk!show your support!#ge15 #ge2015 #generalelection #gamergate #jeremyclarkson #bbc'
Politics,585514643227017216,'investigation into illegal secret civil hearing of criminal matters of a most serious nature #generalelection#ge15'
Social,585514570346795009,'major child abuse cover-up happening now in london!please sign petition to stop it:#gamergate #anon #opdeatheaters'
Politics,585514522183630850,'investigation into illegal secret civil hearing of criminal matters of a most serious nature #generalelection#ge15'
Politics,585514191827636228,'a tale of two continents: gmo regulations in the united states and the european union'
Politics,585514054640361474,'farage welcomes blair intervention on the european union'
Social,585513252676902912,'@guardian tough days ahead for the european union-everyone heard saying.oh! its always survival of the fittest rest go into oblivion.'
Politics,585513096237735936,'how to complain about cafcass  via @ukchange'
Politics,585512888628080641,'council of the european union united nations the hague: investigation into illegal secret civil h...  via @ukchange'
Politics,585512034902679552,'"ten reasons to get rid of the european union" by @fjordman1'
Politics,585511930552520704,'farage welcomes blair intervention on the european union'
Politics,585511856304951296,'investigation into illegal secret civil hearing of criminal matters of a most serious nature #bbc#ge15 #ge2015'
Politics,585508406057918464,'no more secret courts in the uk!show your support!#ge15 #ge2015 #generalelection #gamergate #jeremyclarkson #bbc'
Politics,585505942336380930,'@labouroutofscot @brrsc @phototweetyscot so is that u do like the european union or not im not following?'
Politics,585505757526937603,'farage welcomes blair intervention on the european union - ukip'
Politics,585505750140768257,'farage welcomes blair intervention on the european union - ukip'
Politics,585505288297525249,'breathtaking double standards from would be union-wrecker #nicolasturgeon (not even a candidate) denying uk population a european referendum'
Social,585504035903508480,'a quarter of agricultural goods produced from illegally deforested land are destined for the european union'
Social,585503786652868610,'council of the european union: ban the sale of shark fins  via @ukchange'
Technology,585503563301986304,'#smehouruk check out an expert opinion on energy'
Social,585503563096453122,'last-minute win for saracens in #championscup quarter final:'
Politics,585502817089167360,'@labouroutofscot @brrsc @phototweetyscot @snpout expansionism makes empires so u dont like the european union then?'
Economy,585502435499757569,'up to date news from the european union eu parliament eu matters and eu entrepreneurs:  /collected via analyticus'
Politics,585502427551498241,'how will europe use the serious crises it faces to help unite the continent as never before?'
Politics,585502374430646272,'the crises europe faces is helping shape the continent and unify it.'
Politics,585501353323139072,'the european union: a guide to terminology procedures and sources: source: house of commons library (uk)   ...'
Politics,585501077996437506,'council of the european union working group report on #access to #law oj c 97 24.3.2015 p. 2–10  ht aas. #eu'
Technology,585500871896788995,'paying to see a bug on my food: how regulations and information can hamper radical innovations in the european union.'
Technology,585500871875764224,'paying to see a bug on my food: how regulations and information can hamper radical innovations in the european union.'
Economy,585500707115110401,'id say washington imposed sanctions via unelected brussels officials will lead to disintegration of european union as countries will rebel'
Politics,585500417506877441,'nigel farage welcomes blair intervention on the european union'
Technology,585499478918037506,'news (01/04/2015): worldsensing industrial to attend the european geosciences union assembly in viena (austria)   .'
Politics,585499016198234113,'israel is a more important ally than the entire european union of 500 million + people chuck?'
Politics,585498572583477249,'federika moghirini - memeber of the itlain communist party - european union - nuclear deal with iranii'
Politics,585498265963130880,'@xkayleighjade u must love the european union?'
Politics,585498173944242177,'next thursday april 16th we have glyn ford a parliamentary member of the european union (1984 - 2009) coming to...'
Politics,585498123491004416,'evening standardtony blair warns that quitting european union threatens citys supremacyevening standard“the b...'
Politics,585497682606686208,'farage welcomes blair intervention on the european union'
Social,585497638411309060,'europe - european asylum rules must change: eu officialthe european union is “concerned” by its existing asylum...'
Politics,585497632279265280,'@richarddawkins this wouldnt  be a question where detailed knowledge would help. you either love being in a european union or you dont'
Technology,585497604768804866,'paying to see a bug on my food: how regulations and information can hamper radical innovations in the european union.'
Technology,585497604756217858,'paying to see a bug on my food: how regulations and information can hamper radical innovations in the european union.'
Politics,585497172289986560,'tony blair warns that quitting european union threatens citys supremacy - evening standard'
Technology,585496236188422146,'european geosciences union meeting: press conferences live stream on-site regi…  see more'
Politics,585496082144190467,'thank god that the us stepped in to save the european union in the last episode of @madamsecretary #sarcasm.'
Social,585495033345921025,'european union - statement of the spokesperson on the anniversary of the rwandan #genocide #eu #rwanda'
Politics,585491430342295553,'@greecemfa @nikoskotzias all countries of the european unionand countries that accept the policy of the eu together we will choose ... 1/2'
Economy,585491096437977090,'european union quizzes italy on bank aid  via @thelocalitaly'
Politics,585491060392120321,'@richarddawkins we will always be a part of europe but we dont have to be part of the european union.'
Economy,585490977227460610,'.@guntramwolff explains why introducing exposure rules across #eurozone would increase stability of monetary union'
Economy,585490911599157248,'a path toward european union fiscal integration'
Technology,585490545331548160,'paying to see a bug on my food:regulations and information in the european union #entomophagy'
Politics,585489023470329857,'stop d.a.m. in the european union.'
Technology,585488572683255809,'did you know that 64 countries including the european union japan & china already label genetically engineered food? #gmoinside rt!'
Social,585488107824410624,'comments for: "letter: life in the european union is not ideal but we are better together"... - let'
Politics,585487932414365696,'uk leaving the european union? joke surely'
Politics,585487345408942080,'infh uxeyx 070415190032 gianni pittella: relations between the european union and africa should be strengthened'
Economy,585487279847772160,'view the latest statistical factsheets of #agriculture in the european union and the member states.'
Politics,585487218258477057,'does the european union have a future?  #europeanunion #eu #eurozone'
Politics,585486698324357122,'10 things you never knew about the eu:  #ukelection #eureferendum'
Politics,585486269481877504,'mr. putin has shown a keen interest in exploiting divisions within the european union for his own gain. for...'
Economy,585485372127346688,'uniform and reasonable discount rates for energy efficiency - low-hanging fruit for european energy union?  @eceee_org'
Economy,585483680270934016,'mcdonalds under #eu scrutiny for #tax rulings in #luxembourg  #business #avoidance #taxdodging #advisers #cheshire'
Social,585483677548818432,'past event:the eu crisis management and conflict prevention | the eu association & ukrainian civil society in the us'
Social,585482374420496384,'european union - statement of the spokesperson on the anniversary of the rwandan genocide  #kwibuka21 #rwanda'
Social,585481446292398080,'major child abuse cover-up happening now in london!please sign petition to stop it:#ge15 #ge2015 #generalelection'
Politics,585481438641971200,'investigation into illegal secret civil hearing of criminal matters of a most serious nature #bbc#ge15 #ge2015'
Politics,585481336653291520,'investigation into illegal secret civil hearing of criminal matters of a most serious nature #generalelection#ge2015'
Politics,585481056620519425,'farage welcomes blair intervention on the european union'
Politics,585480988261756928,'@donal_blaney @guidofawkes tony_blair:  "we have 24 hours to save the european union".'
Social,585480774469693440,'#thesilentmountain heads to singapore for the 25th european union film festival this may! read more:'
Politics,585480744111362048,'no more secret courts in the uk!show your support!#ge15 #ge2015 #generalelection #gamergate #jeremyclarkson #bbc'
Politics,585480265637695488,'investigation into illegal secret civil hearing of criminal matters of a most serious nature #bbc#ge15 #ge2015'
Politics,585480155839234049,'investigation into illegal secret civil hearing of criminal matters of a most serious nature #bbc#ge15 #ge2015'
Politics,585480050679611392,'investigation into illegal secret civil hearing of criminal matters of a most serious nature #bbc#ge15 #ge2015'
Politics,585479879476568065,'greece must say to the european union “we are even” [] @thestringer_'
Technology,585479083326369792,'for over 2 years animal testing has been banned in the countries in the european union.no animal testing of cosmetics policy since 03.11.13.'
Politics,585479029886742528,'no more secret courts in the uk!show your support!#ge15 #ge2015 #generalelection #gamergate #jeremyclarkson #bbc'
Social,585479027206578177,'eu agency found issues with german aviation regulator'
Politics,585478707747368960,'following tony blairs comments on an eu referendum check out our series on the eu from last year  #ge2015'
Politics,585478242150260736,'@tsipras_eu is the best fucking president in the entire european fucking union. fuck you germany.'
Politics,585477501767589888,'coming soon: bermann/goebel/davey/fox cases and materials on european union law west publishing 4th ed 2015...'
