@RELATION	training4000

@ATTRIBUTE	class		{Politics,Economy,Social,Technology}
@ATTRIBUTE	id			NUMERIC
@ATTRIBUTE	content		STRING

@DATA
Technology,583647237521051648,'eu to slap google with anti-trust charges: report: the european union is preparing to file anti-trust charges ...'
Technology,583647235600064512,'eu to slap google with anti-trust charges: report: the european union is preparing to file anti-trust charges ...'
Technology,583647232731127808,'eu to slap google with anti-trust charges: report: the european union is preparing to file anti-trust charges ...'
Technology,583647222295764999,'@sitepronews eu to slap google with anti-trust charges: report: the european union is preparing to fil... #seo rt'
Technology,583647216759218176,'#seo #business #tech eu to slap google with anti-trust charges: report: the european union i... #socialmedia #smm'
Technology,583647213370212353,'eu to slap google with anti-trust charges: report: the european union is preparing to file anti-trust charges ...'
Technology,583646970004185089,'why europe hates american tech companies: the european union seems to hate american tech companies. a lot. jus...'
Politics,583646906762436608,'have polish ancestry? you may be able to obtain polish (and european union) citizenship via ...'
Technology,583646876089655296,'facebook data privacy case to be heard before european union court | maximilian schrems battling existing eu...'
Social,583646193047207936,'bienvenu to brandon lombardo who has joined us for 6 months on a european union employment exchange programme....'
Technology,583645991506747393,'facebook data privacy case to be heard before european union court | maximilian schrems battling existing eu laws which allow companies toã¢â‚¬â¦'
Politics,583645792319234049,'get britain outs latest piece with left foot forward exposes the institutionalised sexism within key institutions of the european union.'
Technology,583645572457824257,'facebook data privacy case to be heard before european union court | maximilian schrems battling exã¢â‚¬â¦'
Politics,583645548034523136,': european union commends jonathan for saving nigeria from chaos via @234today'
Economy,583645156353671169,'update: news from the eu parliament european union eu matters and eu employment: /collected via analyticus'
Technology,583644866611023872,'#smartgrids balancing #solar and #windpower could be europes shale gas a senior european union official says'
Social,583644330910318593,'eu to support re-opening of tatar tv: the european union considers the shutdown of the crimean ... #kabari #world'
Politics,583644287377735681,'panelbase: 52% would vote to stay in the european union (excl dk)'
Technology,583643286159626240,'facebook data privacy case to be heard before european union court | maximilian schrems battling existing eu laws which allow companies toã¢â‚¬â¦'
Politics,583643227451981824,'european council & energy union -'
Technology,583642828967841792,'facebook data privacy case to be heard before european union court | maximilian schrems battling existing eu laws ã¢â‚¬â¦'
Technology,583642792154509313,'facebook data privacy case to be heard before european union court | maximilian schrems battling existing eu laws which allow companies toã¢â‚¬â¦'
Technology,583642707102433281,'facebook data privacy case to be heard before european union court | maximilian schrems battling existing eu lawsã¢â‚¬â¦'
Social,583642294529568769,'@meltling its called the european union also known as the fourth reich'
Technology,583641346369396736,'fb tracks all users including ones who have logged-out or not registered for fb in violation of european union law'
Politics,583641214810886144,'diplomacy until dawn: kerry zarif burn midnight oil: united states iran and european union leaders working on a deal to limit iran...'
Politics,583641213636456448,'diplomacy until dawn: kerry zarif burn midnight oil: united states iran and european union leaders working o...'
Politics,583639905563049985,'have polish ancestry? you may be able to obtain polish (and european union) citizenship'
Politics,583639534094651392,'another seven countries as well as kosovo are waiting in the wings to join the european union...'
Politics,583639373096312834,'abuse of european union tax money \n'
Economy,583637004107309058,'britain and the european union: the brexit dilemma via @theeconomist'
Politics,583636909815160832,'it is time for us to accept our leadership in the european union. #germany'
Social,583635845040734208,'violation of media freedom: european union defines atr channel shutdown'
Technology,583635190490210304,'the european union is preparing a lawsuit against google. the search giant is under scrutiny for abusing its...'
Politics,583635088191008768,'european union commends jonathan for saving nigeria from chaos - channels television'
Technology,583634608866119680,'\"@niemanlab: good morning! the european union is preparing antitrust charges against google according to reports \"'
Economy,583634545620164609,'the economist | britain and the european union: the brexit dilemma'
Social,583634228010557440,'gloucester v connacht (fri): gloucester face connacht in the european rugby challenge cup quarter-finals at ki...'
Politics,583634166996008962,'jonathan hailed as a hero for conceding election as he meets with european union observers'
Economy,583633774749085696,'when acquiring other companiesã¢â‚¬â„¢ shares do give transparent and precise information. see lafonta case (c-628/13):'
Economy,583632805910962176,'@gerdantes @spiegel_english abuse of european union reseach funding:'
Social,583632114995724288,'gloucester v connacht (fri): gloucester face connacht in the european rugby challenge cup quarter-finals at ki...'
Social,583632098327568385,'bbc rugby news gloucester v connacht (fri): gloucester face connacht in the european rugby challenge cup quart...'
Social,583632004593291264,'gloucester v connacht (fri): gloucester face connacht in the european rugby challenge cup quarter-final... #rugby'
Social,583631644747235328,'@andyj0n @wadjaknow so what is the european union?'
Technology,583631528204357633,'#expressnews eu ã¢â‚¬ëœgearing upã¢â‚¬â„¢ to sue google over anti-competitive claims'
Social,583631099609264129,'violation of media freedom: european union defines atr channel shutdown'
Social,583631028205400064,'multilingual #europe: there are 24 official #languages in the european union'
Technology,583631006349012992,'apple spotify streaming music deals said to be probed by the european union.'
Technology,583631003098427392,'europe is ã¢â‚¬ëœgearing upã¢â‚¬â„¢ to sue #google over anti-competitive claims'
Social,583630834982395904,': england u21 vs... #england #goals #highlighst #moldova #september #soccer #streaming #uefa'
Social,583630775683313664,'gloucester v connacht (fri) - gloucester face connacht in the european rugby challenge cup quarter-finals at kings...'
Technology,583630723501989890,'#tech - european union - the european commission is preparing to file formal charges against google amid the commi...'
Economy,583630588382437376,'note from berlin: the european energy union -'
Economy,583630241660280832,'european union nations continue to overfish their atlantic waters'
Economy,583630112609931265,'mcdonalds under eu scrutiny for tax rulings in luxembourg... \n via @signalhero #mcdonald #eu #scrutiny #tax #rulings'
Technology,583629750318436352,'european union: you wouldnt need to sue #google for antitrust if anyone wanted to \n'
Politics,583628779622309890,'jonathan has set example for entire world ã¢â‚¬â€œ european union: jonathan goodluck the european union election obs...'
Technology,583628716804145152,'eu ready to declare war on google preps antitrust charges: \ntensions between the european union and google ne...'
Technology,583628095665676289,'3novices:eu ã¢â‚¬ëœgearing upã¢â‚¬â„¢ to sue google over anti-competitive claims \nthe european union is in the final stages of ã¢â‚¬â¦'
Technology,583627643037188096,'digital start-ups and the european union via'
Social,583626689982304257,'the european union considers the shutdown of the crimean tatar media a flagrant violation of the right... #kabari'
Politics,583626666221686784,'jonathan an example to the world -- european union'
Social,583625609072508928,'excellent!! \"@sustaincities: mayors take #climatechange into their own hands w/ historic union via @davidkthorpe \"'
Social,583625077792624641,'@smsaideman @victor_asal ja! in germany! and in the european union! this is why the term is not well understood in north america...'
Politics,583624580041986048,'ã¢â‚¬å“itã¢â‚¬â„¢s important to underline the new direction of the european unionã¢â‚¬? in italy matteo renzi on the eu via @nytimes'
Social,583624179062349824,'ebu day: music for holy week ian skelly presents the european broadcasting unions annual day of...'
Social,583622687873863681,'gloucester v connacht (fri): gloucester face connacht in the european rugby challenge cup quarter-finals at ki...'
Social,583622626238599168,'gloucester v connacht (fri): gloucester face connacht in the european rugby challenge cup quarter-... #rugbyunion'
Social,583622625793933312,'gloucester v connacht (fri): gloucester face connacht in the european rugby challenge cup quarter-finals at ki...'
Social,583622603429937153,'gloucester v connacht (fri): gloucester face connacht in the european rugby challenge cup quarter-finals at ki...'
Social,583622595251085313,'gloucester v connacht (fri): gloucester face connacht in the european rugby challenge cup quarter-finals at ki...'
Politics,583621687830261760,'the european union election observation mission has described as unprecedented president goodluck jonathans...'
Technology,583620859832610817,'european union probing google inc (goog) over antitrust allegations to wrap up the case ... - tickerlens $goog #wlst'
Social,583620334546333697,'gloucester v connacht (fri): gloucester face connacht in the european rugby challenge cup quarter-finals at ki...'
Social,583620025275305984,'british nazi tries to burn a european union flag fails to do so due to eu policy on flammable materials'
Politics,583620021160673280,'european monetary union monetary policy meeting accounts released at 13:30 gmt. may have short term impact on #eur movement'
Technology,583619549414555649,'the european union is going to file antitrust charges against google in the next few weeks according to a new reporã¢â‚¬â¦'
Social,583618661350408192,'gloucester v connacht (fri): gloucester face connacht in the european rugby challenge cup quarter-final... #rugby'
Social,583618656774389760,'gloucester v connacht (fri): gloucester face connacht in the european rugby challenge cup quarter-... #rugby #rfc'
Social,583618649937686528,'[bbc-sport]: gloucester v connacht (fri): gloucester face connacht in the european rugby challenge cup quarter...'
Technology,583617957655379968,'apples much-rumored new music streaming service is already being subjected to scrutiny by the eu'
Social,583617354191339520,'pres. poroshenko to support re-opening of tatar tv: the european union considers the shutdown of the crimean t...'
Politics,583617312793747456,'cmte on european union affairs discussing engagement with the european ombudsman watch proceedings live here'
Social,583616252339445760,'news: gloucester v connacht (fri) - gloucester face connacht in the european rugby challenge cup quarter-finals at...'
Politics,583616140275879936,'the european union observer group to the 2015 general elections in nigeria has described president goodluck...'
Technology,583616126476615680,'good morning! the european union is preparing antitrust charges against google according to reports'
Social,583615960822771713,'latest bbc feed gloucester v connacht (fri) - gloucester face connacht in the european rugby challenge cup quarter...'
Technology,583615952006336512,'guido: google facing eu lawsuit - the european union is preparing to follow up its long held belief that google ha...'
Politics,583615920360284160,': european union commends jonathan for saving nigeria from chaos via @234today'
Economy,583615862655057921,'comm cr2 02.00pm european union affairs (joint) cr2 lh 2000 2 p.m. (t)'
Social,583615295388024832,'mayors take #climatechange into their own hands w/ historic union via @davidkthorpe'
Politics,583615206082772992,'#politics eu may conclude google probe soon - report: ã¢â‚¬â¦ the case has said.\n the european union began i...'
Social,583615205378240513,'#europeanchampionscup quarter-finals take centre stage this weekend #rugbyunion'
Social,583615205265006592,'#europeanchampionscup quarter-finals take centre stage this weekend #rugbyunion'
Economy,583615163544248320,'together the european unions 28 members account for 16% of world imports and exports via @eu_commission'
Social,583615147484262400,'randomly generated buzzword bingo cards for the #leadersdebate here play with friends.'
Politics,583614876838428672,'here is some background information about the european union.'
Politics,583614864087613441,'[nbcnews] diplomacy until dawn: kerry zarif burn midnight oil: united states iran and european union leaders...'
Politics,583614823956488193,'#tyonews diplomacy until dawn: kerry zarif burn midnight oil: united states iran and european union le... #news'
Politics,583614752200359936,'#nbcnews diplomacy until dawn: kerry zarif burn midnight oil: united states iran and european union leaders ...'
Politics,583614723863740420,'diplomacy until dawn: kerry zarif burn midnight oil: united states iran and european union leaders working o...'
Politics,583614712564359168,'diplomacy until dawn: kerry zarif burn midnight oil: united states iran and european union leaders working o...'
Politics,583614704855068673,'diplomacy until dawn: kerry zarif burn midnight oil: united states iran and european union leaders working o...'
Economy,583614257343770624,'#ethiopia | eu to increase assistance to ethiopia: addis ababa 02 april 2015 (wic) - european union has decid...'
Economy,583614254646833153,'eu to increase assistance to ethiopia: addis ababa 02 april 2015 (wic) - european union has d... via @walta_info'
Politics,583613902635700225,'european union commends jonathan for saving nigeria from chaos'
Social,583612512291131392,'the countdown has started! the @londonbookfair and @euplprize will announce the 2015 eupl winners together'
Social,583612263422103552,'the european union & @helpage int are partnering to promote & protect the rights of older women in tanzania #eyd2015'
Economy,583611806431649794,'european union likely to impose place 7% limit on use of ... - ...'
Social,583611752308285441,'ruckme: gloucester v connacht (fri): gloucester face connacht in the european rugby challenge cup quarter-fina...'
Social,583611749900820480,'@rugbyintl gloucester face connacht in the european rugby challenge cup quarter-finals at king... @corneliusmerwe'
Economy,583611289664126976,'council of the european union: stop ecig ban via @ukchange #saveecigs'
Technology,583610525478592514,'european union probing google over antitrust allegations to wrap up the case within a few months $goog $googl #google'
Politics,583610339884998656,'brussels (reuters) - after decades of punching above its weight in europe britains influence in the european union is waning even'
Social,583610263925948416,'saints have the best chance of the english clubs: rugby unionã¢â‚¬â„¢s european champions cup reaches the quarter-fin...'
Technology,583610101627396096,'google facing eu lawsuit: \nthe european union is preparing to follow up its long held belie... (via @guidofawkes)'
Technology,583610097982541824,'google facing eu lawsuit: \nthe european union is preparing to follow up its long held belief that google has b...'
Social,583609718263775232,'gloucester v connacht (fri): gloucester face connacht in the european rugby challenge cup quarter-finals atã¢â‚¬â¦'
Social,583608396152119296,'#glos gloucester v connacht (fri): gloucester face connacht in the european rugby challenge cup quarter-finals...'
Technology,583607887643148289,'the european unionã¢â‚¬â„¢s competition authority last year rejected an offer from google regarding anti-trust issues....'
Social,583607786891780096,'investigation into illegal secret civil hearing of criminal matters of a most serious nature #whistleblowerkids\n\n#ge15'
Politics,583607716997947392,'european union policy update: april 2015 re: digital single market energy & climate change ...'
Politics,583607345827164161,': european union commends jonathan for saving nigeria from chaos'
Politics,583607145771442176,'european union commends jonathan for saving nigeria from chaos'
Politics,583607115266269184,': european union commends jonathan for saving nigeria from chaos via @234today'
Technology,583606736088473600,'report: eu is preparing to file antitrust charges against google: the european unionã¢â‚¬â„¢s competition authority l...'
Social,583606577938173953,'flag for the lgbt people of nazi-soviet jewish union of islamic european states of iraqi and syrian republics'
Technology,583606371796549632,'$goog:\n\neuropean union probing google inc (goog) over antitrust ...:\n\n'
Technology,583606116510203904,'$goog:\n\neuropean union probing google inc (goog) over antitrust ...:\n\n'
Technology,583605802444828672,'european union about to prosecute google for anti-competitive practices.'
Politics,583605193238949888,'european union commends jonathan for saving nigeria from chaos via @igbokwenu_radio'
Politics,583605076343836672,'ecb: account of the monetary policy meeting - european union -'
Politics,583604966813761538,'#politics #winstonchurchill was actually one of the founders of the human rights act which tories wish to abolish!'
Politics,583604749934538752,'diplomacy until dawn: kerry zarif burn midnight oil: united states iran and european union leaders working on a deal to limit iran...'
Politics,583604748864978944,'diplomacy until dawn: kerry zarif burn midnight oil: united states iran and european union leaders working o...'
Politics,583604442768912384,'european union commends jonathan for saving nigeria from the chaos that his party helped nurture.\n'
Economy,583603875069976576,'economies of the caricom have 6 trade arrangements with latin america and the european union. see #eclac report in .'
Politics,583603850679955456,'polls: jonathan an example to the world says eu - the european union (eu) observer mission for... #news #nigeria'
Politics,583603838461980673,'european union commends jonathan for saving nigeria from chaos'
Politics,583603661768654849,'european union policy update: april 2015 @covingtonllp #eu #climatechange #digitalmarkets'
Politics,583603023252951041,'mqm parliamentarians visit counterparts in the european union via @sharethis @stjafri @siddeke'
Politics,583602599888347136,'[latest post] european union commends jonathan for saving nigeria from chaos'
Politics,583602515410812930,'411naija ã‚â» european union commends jonathan for saving nigeria from chaos'
Social,583601419737026560,'@anon4u2 @jasonfagg @sabinemcneill @oatcake1967 heres one:\n'
Politics,583600815589425152,'the pan-european nazi party #apf are seeking financial support from eu. the very union they are out to destroy. #eu'
Social,583600703857262592,'trust in eu hits all-time low as gargantuan gravy train expands: public trust in the european union is at an a...'
Politics,583600433618255872,'european union commends jonathan for saving nigeria from chaos'
Social,583600344107614208,'1/2 the #srilanka government today assured the european union that it will remedy the root causes of injusticediscrimination & prejudice'
Technology,583600212981198848,'europe may be ready to throw the antitrust book at google - the european union is ready to file antitrust charges ...'
Politics,583600143892492290,'diplomacy until dawn: kerry zarif burn midnight oil: united states iran and european union leaders working o...'
Politics,583599866783342593,'up to date news from the eu parliament european union eu matters and eu employment: /collected via analyticus'
Politics,583599664995368960,': video: european union commends jonathan for saving nigeria from chaos => \"'
Politics,583599430919708672,'european union commends jonathan for saving nigeria from chaos'
Social,583599337978126337,'@adrie_vdluijt youre welcome to use or adapt mine'
Politics,583598900751106048,'european union commends jonathan for saving nigeria from chaos -'
Politics,583598495715721216,'european union commends jonathan for saving nigeria from chaos'
Politics,583598447154061312,'\"@channelstv: video: european union commends jonathan for saving nigeria from chaos =&gt; \"'
Social,583598209383161856,'does @suzanneevans1 have the day off work(as an employee of the european union)to go on #bbcdp?@afneil'
Technology,583597995385614336,'friction between european union regulators and americaã¢â‚¬â„¢s big tech companies shows no signs of easing in 2015 via @wsj'
Politics,583597891874336768,'ã¢â‚¬å“@channelstv: video: european union commends jonathan for saving nigeria from chaos => ã¢â‚¬? come again ??'
Politics,583597535903744000,'@jerryzakari : european union commends jonathan for saving nigeria from chaos =&gt; \"'
Politics,583597143899897857,'video: european union commends jonathan for saving nigeria from chaos =>'
Politics,583597143895703553,'video: european union commends jonathan for saving nigeria from chaos =>'
Economy,583596724054286336,'eu urges ukraine to accept russian gas offer ã¢â‚¬â€? eu - european union business news and information |'
Technology,583596269085548545,'chinatopix: european union preparing new anti-trust case against google : tech :chinatopix #security'
Social,583595759632850944,'no sea food from today. feeling really sick. i have to work on my paper for the european union conference and i...'
Social,583595737503641601,'last judgment - may/68\ndaniel cohn-bendit - european union.\nfrom revolutionary to agent nato\n\nverdict: guilty'
Social,583595065559425026,'poll: do you think the uk should leave the european union? \n82% say out @uklabour \n'
Technology,583593842936565760,'european union regulators reviewing complaints filed by uber. via @business'
Politics,583593561616228352,'\"the law ã¢â‚¬â€? which goes beyond those its fellow european union members have passed ã¢â‚¬â€? would allow for someone to...'
Technology,583593540808151041,'report: eu is preparing to file antitrust charges against google: the european unionã¢â‚¬â„¢s competition authority...'
Economy,583590517310627840,'council of the european union: stop ecig ban via @ukchange'
Economy,583590341049126912,'eu: ban fur farming in the european union via @changeorg_id'
Social,583590006633037825,'i love the idea of european union since 1993. i never allow european union collapse in my life tenure'
Economy,583589243504693250,'eu: ban fur farming in the european union via @change'
Economy,583589212907298816,':( seal meat from canada produced by inuit communities could soon be sold in the european union (eu) after the...'
Technology,583588480946720768,'\" cnet: uber says france germany and spain broke european union laws by trying to ban its service ã¢â‚¬â¦'
Social,583587925436178432,'#bdnews #bangladesh eu: stand against violent extremism in bangladesh: the european union (eu) has called upon...'
Technology,583587708272009216,'uber says france germany and spain broke european union laws by trying to ban its service ã¢â‚¬â¦'
Social,583587707600769025,'welcome to naija everything media: humble historical president: european union made some awesome...'
Politics,583587681621409792,'european union law (core texts series) humphreys matthew 0199685614'
Economy,583587622221701120,'eu: ban fur farming in the european union via @ukchange'
Technology,583587318763757568,'european union lays groundwork for antitrust charges against google via @wsj #eu #google #antitrust'
Politics,583587223150338048,'humble historical president: european union made some awesome comments on behalf of president jonathan: the na...'
Technology,583587146445021184,'uber says france germany and spain broke european union laws by trying to ban its service'
Social,583587145467691008,'welcome to naija everything media: humble historical president: european union made some awesome...'
Technology,583587128686333953,'uber says france germany and spain broke european union laws by trying to ban its service'
Social,583586985891205120,'welcome to naija everything media: humble historical president: european union made some awesome...'
Technology,583586942371176448,'sistemas4s: cnet: uber says france germany and spain broke european union laws by trying to ban its service ã¢â‚¬â¦'
Technology,583586926357307392,'uber says france germany and spain broke european union laws by trying to ban its service ã¢â‚¬â¦'
Economy,583586722698649601,'eu: ban fur farming in the european union via @change'
Technology,583586629148868608,'cnet: uber says france germany and spain broke european union laws by trying to ban its service ã¢â‚¬â¦'
Politics,583586578074836992,'poll: do you think uk should leave the european union? #ukip'
Technology,583586535741779969,'cnet : uber says france germany and spain broke european union laws by trying to ban its ã¢â‚¬â¦ )'
Technology,583586176482861057,'uber says france germany and spain broke european union laws by trying to ban its serviceã¢â‚¬â¦'
Social,583585949466042369,'this movie sparked conversation throughout the movie. we had a european union ladies gathering at my house last...'
Economy,583585210878398465,'the european union is under increasing pressure to curtail its anticompetitive subsidies to farmers.[900034]'
Technology,583584703254556672,'uber says france germany and spain broke european union laws by trying to ban its service'
Technology,583584640088182784,'mt @canadaattorney: competition & cabs: uber files competition complaints with eu against national govts:'
Social,583583470846402560,'can the porto directors just be in charge of the european union bro?'
Politics,583582616864956417,'humble historical president: european union made some awesome comments on behalf of president jona...'
Politics,583582580613771264,'humble historical president: european union made some awesome comments on behalf of president jonathan'
Technology,583582295023550464,'the european union prepares its $6billion case against #google #eu'
Social,583581612111167489,'i posted 15 photos on facebook in the album \"european union film festival inauguration pics\"'
Social,583580677532188672,'the french have the highest female life expectancy in the european union. #factoftheday could be all that delicious #goatscheese'
Social,583580257313288192,'the sunset of sovereign powers over the european union ( @matteolaruffa ) via @eutopiamag'
Politics,583579961207980032,': jonathan an example to the world -- european union'
Social,583579683410837504,'.@londonbookfair forms partnership with @euplprize: 2015 winners to be revealed at #lbf15 opening 14th april.'
Economy,583579207705370624,'#processnews eu scraps milk quota after 30 years: the european union (eu) has scrapped the milk ... @food_process'
Technology,583578324120788992,'e.u. as in european union...is about to sue google?'
Social,583577278661206016,'2008 french presidency of european union europe 20 euro 5oz silver + free gift'
Politics,583577108330520576,'\"@channelstv: european union commends jonathan for saving nigeria from chaos \"'
Politics,583576890780344323,'the african union mugabe and the european union'
Economy,583576472662704129,'introducing exposure rules across the euro area would greatly increase the stability of monetary union @guntramwolff'
Politics,583575387533246465,'must read: european union made some comments on behalf of president jonathan'
Politics,583575385398353921,'must read: european union made some comments on behalf of president jonathan'
Politics,583575373864009728,'must read: european union made some comments on behalf of president jonathan'
Politics,583575120171569154,'must read: european union made some comments on behalf of president jonathan'
Economy,583574888050483200,'\n\neuropean union and undp assist belarus in moving towards green economy. the...'
Social,583574637289705473,'#bathrugby european champions cup quarter-final preview - betfred double delight on first try scor... #bathfamily'
Politics,583574406070476800,'\"the european union is a giant pension fund for european politicians\"'
Politics,583573635916374016,'polls: jonathan an example to the world says eu - the european union (eu) observer mission for... #news #nigeria'
Politics,583571564333027328,'bloomberg\" \"if greece does not reverse its decision the european union will face theã¢â‚¬â¦'
Economy,583571476218949632,'right time for talks on india-eu free trade pact: kher: new delhi: it is the right time for european union to ...'
Economy,583570672095485952,'malta slips to sixth lowest place in unemployment stakes in european union - the malta independent:'
Economy,583570042731831296,'ã¢â‚¬ëœright time for talks on india-eu free trade pactã¢â‚¬â„¢ - it is the right time for the european union to resume negotia...'
Politics,583570031004426240,'european union reveals what president jonathan is to the world #newsheadlines'
Politics,583569983201906688,'pending cases at the court of justice of the european union'
Politics,583569823948525569,'#tunisia: european union intent on sending a security official'
Politics,583569659154173953,'diplomacy until dawn: kerry zarif burn midnight oil: united states iran and european union leaders working on a deal to limit iran...'
Politics,583569657824555008,'diplomacy until dawn: kerry zarif burn midnight oil: united states iran and european union leaders working o...'
Economy,583569528426254336,'stop eu funding of eritreaã¢â‚¬â„¢s repressive regime -'
Economy,583569405310803968,'sign and share:- council of the european union: stop ecig ban via @ukchange'
Economy,583568582736510976,'right time for talks on india-eu free trade pact'
Economy,583568223355985920,'stop eu funding of #eritreaã¢â‚¬â„¢s repressive regime via @asmarinoen and @eysc_eritrea \n via @changeitalia'
Politics,583568175658176512,'vestnik kavkaza: bloomberg\" \"if greece does not reverse its decision the european unionã¢â‚¬â¦'
Social,583567953842438144,'? european champions cup quarter-final preview - betfredã¢â‚¬â¦ ~ via'
Politics,583567686409523201,'bloomberg\" \"if greece does not reverse its decision the european union will face theã¢â‚¬â¦'
Economy,583567153200177153,'hble ã¢â‚¬ëœright time for talks on india-eu free trade pactã¢â‚¬â„¢: it is the right time for the european union to resume...'
Social,583567067841830913,'dtn bangladesh: stand against activities of violent extremists says eu: the european union (eu) has said the ...'
Technology,583566747485208576,'competition & cabs: uber files competition complaints with european union against national govts: via @skynewsaust'
Economy,583566112241123328,'european union fisheries conservation in mediterranean to be strengthened mar 30 22:00'
Economy,583565859651596288,'dna right time for talks on india-eu free trade pact: it is the right time for european union to resume nego...'
Politics,583565845252743168,'european union commend president jonathan on his conduct after the presidential election'
Economy,583565529560014848,'council of the european union: stop ecig ban via @ukchange'
Social,583565034397294592,'@britinfluence the mystery of the golden stars - an adventure in the european union'
Economy,583564106717913088,'@wsj @wsj the european antitrust is a socialist organisation against the free market. eu = union of the republics socialist from europe.'
Politics,583563715901022208,'jonathan an example to the world -- european union'
Politics,583563715892641792,'jonathan an example to the world -- european union'
Politics,583563715632570368,'jonathan an example to the world -- european union'
Economy,583562469093814272,'under the looking glass: surveying 1.000 #social #enterprises in china russia and eu @seforis_news #socialbusiness'
Politics,583562434423689216,'germany dominates the eu and will not agree to fundamental reform via @thescepticisle'
Technology,583561753340018689,'report: european unions top antitrust authority laying groundwork for charges against google source says - @wsj'
Politics,583561202648875008,'following the defeat the incumbent president recently suffered at the march 28 presidential election the european union (eu)'
Technology,583559737360384001,'the eu is planning antitrust charges against google-the wall street journal is reporting that the european union..'
Social,583559575246364672,'#eyd2015 must aim at reaching the most vulnerable children in their first 1000 days #myeyd2015'
Technology,583559145560899584,'eu joins u.s. to try to stop chinas new technology rules\n \n brussels (reuters) - the european union on thursday sharply criticized china..'
Social,583559074224201729,'please sign and share!\nthey only need 65 signatures...\n'
Economy,583558681209372673,'ukraine needs unity of european union - poroshenko| ukrinform'
Politics,583558606383120384,'court of appeal asks the cjeu to rule on the validity of the aviation emission trading scheme moratorium'
Politics,583558396353183745,'european union reveals what president jonathan is to the world'
Social,583558347221291008,'the #eu should #stopatnothing to reach count and protect vulnerable children #myeyd2015'
Politics,583558061991800832,'\"biggest risk to business is conservative policy on european union\" - @chukaumunna in #cambridge @cambridgenewsuk'
Politics,583557821083607040,'european union (eeas) - call for proposals | support to #zimbabwe civil societyã¢â‚¬â¦'
Politics,583557654519382016,'jonathan holds meeting with european union observers; hailed as a hero for conceding election defeat...'
Economy,583557577990103040,'momentum 3/2015: capital markets union - driver for european growth?'
Social,583557028959784960,'the #eyd2015 must #stopatnothing to change childrens lives in 2015 and beyond #myeyd2015'
Social,583555780558901248,'in 2015 we want the #eu to #stopatnothing to eliminate childhood malnutrition! #myeyd2015'
Economy,583555677353828352,'malta slips to sixth lower place in lowest unemployment stakes in european union - the malta...'
Technology,583555667262316544,'the eu is planning antitrust charges against google - the wall street journal is reporting that the european union...'
Politics,583555629064658944,'diplomacy until dawn: kerry zarif burn midnight oil - united states iran and european union leaders working on a...'
Technology,583555508294025216,'the eu is planning antitrust charges against google - the wall street journal is reporting that the european union...'
Technology,583555477637885953,'the eu is planning antitrust charges against google - the wall street journal is reporting that the european union...'
Technology,583555434939867136,'the eu is planning antitrust charges against google - the wall street journal is reporting that the european union...'
Politics,583555428908412929,'nigel farage is reportedly going to attack snp leader @nicolasturgeon for being \"pro-mass migration pro-european union\" in the debate.'
Technology,583555419324416000,'the eu is planning antitrust charges against google - the wall street journal is reporting that the european union...'
Technology,583555386520821760,'the eu is planning antitrust charges against google - the wall street journal is reporting that the european union...'
Technology,583555373698801664,'the eu is planning antitrust charges against google - the wall street journal is reporting that the european union...'
